"","GeneID","Cluster","ComparisonGroup"
"656","LOC4326239","cluster2","Group1"
"657","LOC4347016","cluster2","Group1"
"658","LOC4336807","cluster2","Group1"
"659","LOC4325052","cluster2","Group1"
"660","LOC107280203","cluster2","Group1"
"661","LOC112939293","cluster2","Group1"
"662","LOC4335529","cluster2","Group1"
"663","LOC4327728","cluster2","Group1"
"664","LOC4333349","cluster2","Group1"
"665","LOC4330424","cluster2","Group1"
"666","LOC4327192","cluster2","Group1"
"667","LOC4345595","cluster2","Group1"
"668","LOC4340349","cluster2","Group1"
"669","LOC4352122","cluster2","Group1"
"670","LOC9269236","cluster2","Group1"
"671","LOC4350766","cluster2","Group1"
"672","LOC4341524","cluster2","Group1"
"673","LOC4324913","cluster2","Group1"
"674","LOC4335427","cluster2","Group1"
"675","LOC9268176","cluster2","Group1"
"676","LOC107275575","cluster2","Group1"
"677","LOC4351470","cluster2","Group1"
"678","LOC9269355","cluster2","Group1"
"679","LOC107279121","cluster2","Group1"
"680","LOC4339363","cluster2","Group1"
"681","LOC4328099","cluster2","Group1"
"682","LOC112936857","cluster2","Group1"
"683","LOC107278192","cluster2","Group1"
"684","LOC4349662","cluster2","Group1"
"685","LOC4351739","cluster2","Group1"
"686","LOC4325353","cluster2","Group1"
"687","LOC4345911","cluster2","Group1"
"688","LOC4344440","cluster2","Group1"
"689","LOC4324440","cluster2","Group1"
"690","LOC112939610","cluster2","Group1"
"691","LOC4352507","cluster2","Group1"
"692","LOC4351501","cluster2","Group1"
"693","LOC107278945","cluster2","Group1"
