"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_2747","Bacteria","Desulfobacterota",NA,NA,NA,NA
"ASV_2750","Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae",NA
"ASV_2753","Bacteria","Sva0485",NA,NA,NA,NA
"ASV_2755","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora"
"ASV_2756","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA
"ASV_2758","Bacteria","NB1-j",NA,NA,NA,NA
"ASV_2761","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_2762","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","GWE2-31-10"
"ASV_2763","Bacteria","Chloroflexi","Anaerolineae","SJA-15",NA,NA
"ASV_2767","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"ASV_2769","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_2770","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_2771","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"ASV_2774","Bacteria","Desulfobacterota","Desulfomonilia","Desulfomonilales","Desulfomonilaceae","Desulfomonile"
"ASV_2775","Bacteria","Chloroflexi","Anaerolineae","C10-SB1A",NA,NA
"ASV_2776","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_2777","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ASV_2780","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_2781","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_2783","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_2788","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia"
"ASV_2789","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium"
"ASV_2791","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ASV_2792","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA
