"","YR_1_1","YR_1_2","YR_1_3","YR_3_2","YR_3_3","YR_3_4","YR_1_4","YR_1_5","YR_1_6","YR_2_6","YR_2_7","YR_2_8","YR_1_17","YR_2_1","YR_2_2","YR_2_3","YR_2_4","YR_2_5","YR_3_8","YR_3_9","YR_3_10","YR_3_11","YR_1_10","YR_1_11","YR_1_12","YR_1_13","YR_3_12","YR_3_13","YR_3_14","YR_3_15","YR_3_16"
"ASV_559",12,10,20,0,0,0,132,11,12,0,0,0,0,0,0,0,0,0,9,8,4,2,31,114,226,82,10,14,5,16,0
"ASV_560",8,0,0,9,0,0,0,0,0,0,0,0,0,0,15,128,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"ASV_561",0,0,0,176,0,0,0,58,0,0,0,0,0,84,0,18,0,0,0,0,0,38,0,18,0,0,0,0,0,0,0
"ASV_562",0,0,0,0,62,0,0,0,0,0,0,0,21,28,85,0,0,64,0,63,36,42,0,0,0,0,0,0,0,0,0
"ASV_563",0,6,0,21,69,0,48,12,3,0,0,0,0,91,0,0,49,12,0,0,0,34,65,0,0,0,0,0,0,0,0
"ASV_564",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,8,15,104,67,81,91,133
"ASV_565",4,17,66,19,0,0,13,0,22,24,52,50,0,16,8,15,11,10,16,18,11,0,13,48,3,19,0,0,0,0,0
"ASV_566",0,0,35,0,25,56,10,0,98,0,0,26,0,78,0,0,0,52,25,12,13,0,15,9,0,31,0,0,0,0,0
"ASV_567",0,15,14,27,41,19,0,0,93,19,40,9,0,6,0,62,24,18,11,16,44,0,0,5,0,0,2,0,0,0,0
"ASV_568",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,6,24,72,108,81,93,57
"ASV_569",15,10,49,53,0,0,0,130,0,0,0,0,0,20,17,15,0,0,0,0,0,0,3,18,0,8,3,0,0,0,0
"ASV_570",0,0,69,17,18,78,0,0,50,37,0,0,0,13,0,0,22,0,0,0,35,0,8,0,0,0,0,0,0,0,0
"ASV_571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,28,115,122,122,77,51
"ASV_572",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,12,0,0,0,9,8,0,17,88,92,91,103,100
"ASV_573",0,28,39,0,0,14,36,0,4,0,70,62,0,12,0,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ASV_574",17,0,0,9,56,0,0,44,0,0,0,0,35,97,160,0,0,0,0,118,20,24,10,0,0,0,0,0,0,0,0
"ASV_575",0,0,37,0,0,121,0,0,0,0,83,0,0,27,0,13,0,0,9,0,0,0,43,0,0,28,0,0,0,0,0
"ASV_576",9,33,25,29,51,43,12,9,45,11,19,0,0,41,46,0,0,0,14,16,0,0,0,8,0,24,0,0,0,0,0
"ASV_577",0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,4,5,0,1,0,21,86,106,81,82,108
